i =    0, x = 12.38, y = 7.32, z = 7.58
i =    3, x = 12.38, y = 7.32, z = 5.89
i =    6, x = 12.39, y = 0.29, z = 14.65
i =    9, x = 12.40, y = 0.29, z = 14.66
i =   12, x = 12.39, y = 0.29, z = 14.65
i =   15, x = 12.39, y = 0.29, z = 15.53
i =   18, x = 12.39, y = 0.29, z = 5.89
i =   21, x = 12.39, y = 0.74, z = 5.89
i =   24, x = 12.39, y = 0.29, z = 5.89
i =   27, x = 12.39, y = 0.29, z = 4.94
i =   30, x = 8.52, y = -6.74, z = 4.98
i =   33, x = 8.52, y = 0.29, z = 4.98
i =    0, x = 11.51, y = 7.32, z = -15.53
i =    3, x = 4.67, y = 7.32, z = 4.99
i =    6, x = -11.22, y = 7.32, z = -15.53
i =    9, x = 12.38, y = 7.32, z = 14.65
i =   12, x = 11.51, y = 7.32, z = 7.65
i =   15, x = 12.38, y = 7.32, z = 7.58
i =   18, x = 11.51, y = 7.32, z = 15.53
i =   21, x = -4.31, y = 7.32, z = 5.86
i =   24, x = 11.51, y = 7.32, z = 5.86
i =   27, x = -4.31, y = 0.29, z = 5.86
i =   30, x = -1.15, y = 0.29, z = 5.86
i =   33, x = -1.16, y = 0.29, z = 10.69
i =   36, x = 11.51, y = 0.29, z = 5.86
i =   39, x = 11.50, y = 0.29, z = 10.72
i =   42, x = 6.57, y = 0.29, z = 10.71
i =   45, x = 8.55, y = 0.29, z = 14.67
i =   48, x = 11.50, y = 0.29, z = 10.72
i =   51, x = 11.51, y = 0.29, z = 14.65
i =   54, x = -4.31, y = -1.51, z = 14.65
i =   57, x = -4.31, y = -5.02, z = 15.53
i =   60, x = -4.31, y = -6.74, z = 14.65
i =   63, x = 12.39, y = -6.74, z = -16.40
i =   66, x = 11.51, y = -6.74, z = -15.53
i =   69, x = 11.51, y = -6.74, z = -16.40
i =   72, x = -4.31, y = -5.02, z = 12.01
i =   75, x = -4.31, y = -1.51, z = 5.86
i =   78, x = -4.31, y = -1.51, z = 12.01
i =   81, x = 12.39, y = -6.74, z = 9.73
i =   84, x = 11.51, y = -5.02, z = 9.73
i =   87, x = 11.51, y = -6.74, z = 9.73
i =   90, x = -4.31, y = -6.74, z = 15.53
i =   93, x = -1.68, y = -5.02, z = 15.53
i =   96, x = -1.68, y = -6.74, z = 15.53
i =   99, x = 11.51, y = -6.74, z = 15.53
i =  102, x = 11.51, y = -5.02, z = 14.65
i =  105, x = 11.51, y = -6.74, z = 14.65
i =  108, x = 8.87, y = -6.74, z = 15.53
i =  111, x = 11.51, y = -5.02, z = 15.53
i =  114, x = 11.51, y = -6.74, z = 15.53
i =  117, x = 6.23, y = -6.74, z = 15.53
i =  120, x = 8.87, y = -5.02, z = 15.53
i =  123, x = 8.87, y = -6.74, z = 15.53
i =  126, x = 3.60, y = -6.74, z = 15.53
i =  129, x = 6.23, y = -5.02, z = 15.53
i =  132, x = 6.23, y = -6.74, z = 15.53
i =  135, x = 0.96, y = -6.74, z = 15.53
i =  138, x = 3.60, y = -5.02, z = 15.53
i =  141, x = 3.60, y = -6.74, z = 15.53
i =  144, x = -1.68, y = -6.74, z = 15.53
i =  147, x = 0.96, y = -5.02, z = 15.53
i =  150, x = 0.96, y = -6.74, z = 15.53
i =  153, x = 11.51, y = -5.02, z = 15.53
i =  156, x = 11.51, y = -1.51, z = 14.65
i =  159, x = 11.51, y = -5.02, z = 14.65
i =  162, x = -4.31, y = -5.02, z = 15.53
i =  165, x = -1.68, y = -1.51, z = 15.53
i =  168, x = -1.68, y = -5.02, z = 15.53
i =  171, x = 8.87, y = -5.02, z = 15.53
i =  174, x = 11.51, y = -1.51, z = 15.53
i =  177, x = 11.51, y = -5.02, z = 15.53
i =  180, x = 11.51, y = -5.02, z = 9.73
i =  183, x = 12.39, y = -1.31, z = 9.73
i =  186, x = 11.51, y = -1.31, z = 9.73
i =  189, x = 3.60, y = -5.02, z = 15.53
i =  192, x = 6.23, y = -1.51, z = 15.53
i =  195, x = 6.23, y = -5.02, z = 15.53
i =  198, x = 11.51, y = -6.74, z = 14.65
i =  201, x = 11.51, y = -5.02, z = 12.78
i =  204, x = 11.51, y = -6.74, z = 12.78
i =  207, x = 0.96, y = -5.02, z = 15.53
i =  210, x = 3.60, y = -1.51, z = 15.53
i =  213, x = 3.60, y = -5.02, z = 15.53
i =  216, x = 3.49, y = 6.17, z = 4.99
i =  219, x = 0.42, y = 6.17, z = 5.86
i =  222, x = 3.48, y = 6.17, z = 5.87
i =  225, x = 11.51, y = -6.74, z = 15.53
i =  228, x = 12.39, y = -6.74, z = 16.40
i =  231, x = 11.51, y = -6.74, z = 16.40
i =  234, x = 11.51, y = -6.74, z = 15.53
i =  237, x = 12.39, y = -6.74, z = 14.65
i =  240, x = 12.39, y = -6.74, z = 15.53
i =  243, x = 3.60, y = -1.51, z = 15.53
i =  246, x = 6.23, y = 0.29, z = 15.53
i =  249, x = 6.23, y = -1.51, z = 15.53
i =  252, x = -1.15, y = -1.51, z = 5.86
i =  255, x = -4.31, y = 0.29, z = 5.86
i =  258, x = -4.31, y = -1.51, z = 5.86
i =  261, x = 8.87, y = -1.51, z = 15.53
i =  264, x = 11.51, y = 0.29, z = 15.53
i =  267, x = 11.51, y = -1.51, z = 15.53
i =  270, x = 6.23, y = 0.29, z = 15.53
i =  273, x = 8.87, y = -1.51, z = 15.53
i =  276, x = 6.23, y = -1.51, z = 15.53
i =  279, x = -4.31, y = -1.51, z = 14.65
i =  282, x = -4.31, y = 0.29, z = 15.53
i =  285, x = -4.31, y = -1.51, z = 15.53
i =  288, x = -1.17, y = 0.29, z = 15.53
i =  291, x = 0.96, y = -1.51, z = 15.53
i =  294, x = -1.68, y = -1.51, z = 15.53
i =  297, x = -4.31, y = -1.51, z = 12.01
i =  300, x = -4.31, y = 0.29, z = 14.65
i =  303, x = -4.31, y = -1.51, z = 14.65
i =  306, x = -6.00, y = -6.74, z = -15.53
i =  309, x = -3.73, y = -6.74, z = -16.40
i =  312, x = -3.73, y = -6.74, z = -15.53
i =  315, x = -4.31, y = -1.51, z = 12.01
i =  318, x = -4.31, y = 0.29, z = 5.86
i =  321, x = -4.31, y = 0.29, z = 12.01
i =  324, x = 0.96, y = -1.51, z = 15.53
i =  327, x = 3.60, y = 0.29, z = 15.53
i =  330, x = 3.60, y = -1.51, z = 15.53
i =  333, x = 11.51, y = -1.51, z = 14.65
i =  336, x = 11.51, y = -5.02, z = 12.78
i =  339, x = 11.51, y = -5.02, z = 14.65
i =  342, x = 12.39, y = -6.74, z = 12.78
i =  345, x = 11.51, y = -5.02, z = 12.78
i =  348, x = 12.39, y = -5.02, z = 12.78
i =  351, x = -1.68, y = -1.51, z = 15.53
i =  354, x = -4.31, y = 0.29, z = 15.53
i =  357, x = -1.17, y = 0.29, z = 15.53
i =  360, x = 11.51, y = -6.74, z = 14.65
i =  363, x = 12.39, y = -6.74, z = 12.78
i =  366, x = 12.39, y = -6.74, z = 14.65
i =  369, x = 11.51, y = 0.29, z = 14.65
i =  372, x = 11.51, y = -1.31, z = 12.78
i =  375, x = 11.51, y = -1.51, z = 14.65
i =  378, x = -4.31, y = -6.74, z = 12.01
i =  381, x = -4.31, y = -5.02, z = 12.01
i =  384, x = -4.31, y = -6.74, z = 14.65
i =  387, x = -5.19, y = -6.74, z = 4.98
i =  390, x = -11.21, y = -6.74, z = 5.86
i =  393, x = -11.22, y = -6.74, z = 4.98
i =  396, x = -11.22, y = -6.74, z = 4.98
i =  399, x = -12.38, y = -6.74, z = 5.86
i =  402, x = -12.38, y = -6.74, z = 4.98
i =  405, x = -12.40, y = 0.28, z = -15.53
i =  408, x = -12.40, y = -6.74, z = -16.40
i =  411, x = -12.40, y = -6.74, z = -15.53
i =  414, x = -12.38, y = -6.74, z = 4.98
i =  417, x = -11.22, y = -6.74, z = -15.53
i =  420, x = -11.22, y = -6.74, z = 4.98
i =  423, x = -11.22, y = -6.74, z = -15.53
i =  426, x = -12.40, y = -6.74, z = -16.40
i =  429, x = -11.22, y = -6.74, z = -16.40
i =  432, x = -4.31, y = -6.74, z = 5.86
i =  435, x = -5.19, y = -6.74, z = 5.86
i =  438, x = -5.19, y = -6.74, z = 4.98
i =  441, x = -5.19, y = -6.74, z = 12.01
i =  444, x = -4.31, y = -6.74, z = 5.86
i =  447, x = -4.31, y = -6.74, z = 12.01
i =  450, x = -5.19, y = -6.74, z = 14.65
i =  453, x = -4.31, y = -6.74, z = 12.01
i =  456, x = -4.31, y = -6.74, z = 14.65
i =  459, x = -4.31, y = -6.74, z = 14.65
i =  462, x = -5.19, y = -6.74, z = 15.53
i =  465, x = -5.19, y = -6.74, z = 14.65
i =  468, x = -5.19, y = -6.74, z = 16.40
i =  471, x = -4.31, y = -6.74, z = 15.53
i =  474, x = -4.31, y = -6.74, z = 16.40
i =  477, x = 8.87, y = -6.74, z = 15.53
i =  480, x = 11.51, y = -6.74, z = 16.40
i =  483, x = 8.87, y = -6.74, z = 16.40
i =  486, x = -1.68, y = -6.74, z = 15.53
i =  489, x = -1.68, y = -6.74, z = 16.40
i =  492, x = -4.31, y = -6.74, z = 15.53
i =  495, x = -4.31, y = -6.74, z = 12.01
i =  498, x = -4.31, y = -5.02, z = 5.86
i =  501, x = -4.31, y = -5.02, z = 12.01
i =  504, x = -6.00, y = -6.74, z = -15.53
i =  507, x = -8.73, y = -6.74, z = -16.40
i =  510, x = -6.00, y = -6.74, z = -16.40
i =  513, x = 1.27, y = -6.74, z = -15.53
i =  516, x = -1.24, y = -6.74, z = -16.40
i =  519, x = 1.27, y = -6.74, z = -16.40
i =  522, x = 3.25, y = -6.74, z = -15.53
i =  525, x = 1.27, y = -6.74, z = -16.40
i =  528, x = 3.25, y = -6.74, z = -16.40
i =  531, x = 5.57, y = -6.74, z = -15.53
i =  534, x = 3.25, y = -6.74, z = -16.40
i =  537, x = 5.57, y = -6.74, z = -16.40
i =  540, x = 5.57, y = -6.74, z = -16.40
i =  543, x = 7.55, y = -6.74, z = -15.53
i =  546, x = 5.57, y = -6.74, z = -15.53
i =  549, x = 7.55, y = -6.74, z = -16.40
i =  552, x = 9.88, y = -6.74, z = -15.53
i =  555, x = 7.55, y = -6.74, z = -15.53
i =  558, x = 11.51, y = -6.74, z = -15.53
i =  561, x = 9.88, y = -6.74, z = -16.40
i =  564, x = 11.51, y = -6.74, z = -16.40
i =  567, x = 11.53, y = 0.74, z = -15.52
i =  570, x = -11.22, y = 0.29, z = -15.53
i =  573, x = 11.53, y = 0.29, z = -15.52
i =  576, x = -11.23, y = 0.29, z = 4.98
i =  579, x = -11.22, y = -6.74, z = -15.53
i =  582, x = -11.22, y = 0.29, z = -15.53
i =  585, x = -11.22, y = -6.74, z = -15.53
i =  588, x = -8.73, y = -6.74, z = -16.40
i =  591, x = -8.73, y = -6.74, z = -15.53
i =  594, x = -1.24, y = -6.74, z = -15.53
i =  597, x = -3.73, y = -6.74, z = -16.40
i =  600, x = -1.24, y = -6.74, z = -16.40
i =  603, x = -4.31, y = 0.29, z = 15.53
i =  606, x = -1.17, y = 0.74, z = 15.53
i =  609, x = -1.17, y = 0.29, z = 15.53
i =  612, x = 12.39, y = 0.74, z = 5.89
i =  615, x = 12.38, y = 7.32, z = 7.58
i =  618, x = 12.39, y = 0.74, z = 7.66
i =  621, x = 6.57, y = 0.29, z = 10.71
i =  624, x = 8.55, y = 0.74, z = 14.67
i =  627, x = 6.57, y = 0.74, z = 10.71
i =  630, x = 12.40, y = 0.74, z = 14.66
i =  633, x = 8.55, y = 0.29, z = 14.67
i =  636, x = 12.40, y = 0.29, z = 14.66
i =  639, x = -1.16, y = 0.29, z = 10.69
i =  642, x = 6.57, y = 0.74, z = 10.71
i =  645, x = -1.16, y = 0.74, z = 10.69
i =  648, x = 11.51, y = 7.32, z = 14.65
i =  651, x = 12.38, y = 7.76, z = 14.65
i =  654, x = 12.38, y = 7.32, z = 14.65
i =  657, x = -1.17, y = 7.32, z = 15.53
i =  660, x = 0.96, y = 7.76, z = 15.53
i =  663, x = 0.96, y = 7.32, z = 15.53
i =  666, x = 0.96, y = 7.32, z = 15.53
i =  669, x = 3.60, y = 7.76, z = 15.53
i =  672, x = 3.60, y = 7.32, z = 15.53
i =  675, x = -4.31, y = 7.32, z = 12.01
i =  678, x = -4.31, y = 7.76, z = 14.65
i =  681, x = -4.31, y = 7.32, z = 14.65
i =  684, x = -1.15, y = 0.29, z = 5.86
i =  687, x = -4.31, y = 0.29, z = 4.98
i =  690, x = -1.15, y = 0.29, z = 4.98
i =  693, x = -4.31, y = 0.29, z = 4.98
i =  696, x = -11.23, y = 0.74, z = 4.98
i =  699, x = -11.23, y = 0.29, z = 4.98
i =  702, x = 3.60, y = 7.32, z = 15.53
